Non Manufacturers,,,,,Latest,Latest,Latest,Total,,Total,,Retained,Total Equity,,Latest,Latest,Previous,,Latest,Latest,Previous,,Latest,Latest,,,,,,,Working Cap/,Ret. Earnings/,EBIT/,Book Value of Equity/,,,,,,,
ADBE,ADOBE INC.,Services,Technology Services, 5.16 , Low ,2020-05-29,2,2020," 6,649.0 "," 21,603.0 "," 5,164.0 "," 10,722.0 "," 16,428.0 "," 10,881.0 "," 1,485.0 "," 11,171.3 "," 6,219.0 "," 5,345.0 "," 12,045.3 "," 3,268.1 "," 1,953.0 "," 1,444.0 "," 3,777.1 ", 486.3 ,438.88," 213,427.34 "," 10,881 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.069 , 0.760 , 0.175 , 1.015 , 0.45 , 2.48 , 1.17 , 1.06 , 5.16 , Low 
TIF,TIFFANY & CO,Trade,Retail, 5.09 , Low ,2020-04-30,1,2021," 4,031.6 "," 6,743.8 "," 1,256.4 "," 3,562.8 "," 2,069.7 "," 3,168.9 "," 2,775.2 "," 4,424.0 ", 555.5 ," 1,003.1 "," 3,976.4 ", 732.6 , (105.4), 160.9 , 466.3 , 121.2 ,124.65," 15,107.58 "," 3,181 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.412 , 0.307 , 0.069 , 0.893 , 2.70 , 1.00 , 0.46 , 0.93 , 5.09 , Low 
HD,"HOME DEPOT, INC.",Trade,Retail, 5.06 , Low ,2020-05-03,1,2021," 27,277.0 "," 58,737.0 "," 23,348.0 "," 62,227.0 "," 52,354.0 "," (3,490.0)"," 3,929.0 "," 110,225.0 "," 28,260.0 "," 26,381.0 "," 112,104.0 "," 15,843.0 "," 3,276.0 "," 3,597.0 "," 15,522.0 "," 1,077.0 ",266.31," 286,815.87 "," (3,490)", 6.56 , 3.26 , 6.72 , 1.04 , 0.067 , 0.891 , 0.264 , (0.056), 0.44 , 2.91 , 1.78 , (0.06), 5.06 , Low 
PHM,PULTEGROUP INC/MI/,Services,Construction, 5.04 , Low ,2020-06-30,2,2020," 9,706.2 "," 10,958.5 "," 4,850.5 "," 5,106.8 ", -   ," 5,851.7 "," 4,855.8 "," 10,213.0 "," 4,888.8 "," 4,485.7 "," 10,616.0 "," 1,353.1 ", 728.6 , 542.0 ," 1,539.7 ", 270.1 ,43.87," 11,850.47 "," 5,852 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.443 , -   , 0.141 , 1.146 , 2.91 , -   , 0.94 , 1.19 , 5.04 , Low 
PPG,PPG INDUSTRIES INC,Resources,Chemicals, 4.97 , Low ,2020-06-30,2,2020," 7,077.0 "," 18,170.0 "," 5,234.0 "," 13,232.0 "," 19,010.0 "," 4,832.0 "," 1,843.0 "," 15,146.0 "," 6,392.0 "," 7,648.0 "," 13,890.0 "," 1,672.0 ", 475.0 , 788.0 ," 1,359.0 ", 237.6 ,108.2," 25,708.32 "," 4,938 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.101 , 1.046 , 0.075 , 0.373 , 0.67 , 3.41 , 0.50 , 0.39 , 4.97 , Low 
XOM,EXXON MOBIL CORP,Resources,Energy, 4.88 , Low ,2020-03-31,1,2020," 50,249.0 "," 355,804.0 "," 64,773.0 "," 167,061.0 "," 416,919.0 "," 182,079.0 "," (14,524.0)"," 255,583.0 "," 55,134.0 "," 61,646.0 "," 249,071.0 "," 11,531.0 "," (1,033.0)"," 2,491.0 "," 8,007.0 "," 4,270.0 ",41.87," 178,784.90 "," 188,743 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.041), 1.172 , 0.023 , 1.130 , (0.27), 3.82 , 0.15 , 1.17 , 4.88 , Low 
MCD,MCDONALDS CORP,Services,Hospitality, 4.88 , Low ,2020-03-31,1,2020," 7,556.9 "," 50,568.0 "," 3,987.8 "," 59,861.4 "," 53,106.7 "," (9,293.4)"," 3,569.1 "," 21,076.5 "," 4,714.4 "," 5,024.1 "," 20,766.8 "," 9,069.8 "," 1,693.6 "," 2,094.0 "," 8,669.4 ", 750.7 ,195.41," 146,694.29 "," (9,293)", 6.56 , 3.26 , 6.72 , 1.04 , 0.071 , 1.050 , 0.171 , (0.155), 0.46 , 3.42 , 1.15 , (0.16), 4.88 , Low 
MSFT,MICROSOFT CORP,Services,Technology Services, 4.61 , Low ,2020-06-30,4,2020," 181,915.0 "," 301,311.0 "," 72,310.0 "," 183,007.0 "," 34,566.0 "," 118,304.0 "," 109,605.0 "," 143,015.0 "," 143,015.0 "," 125,843.0 "," 143,015.0 "," 52,959.0 "," 52,959.0 "," 42,959.0 "," 52,959.0 "," 7,683.0 ",203.9," 1,566,563.70 "," 118,304 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.364 , 0.115 , 0.176 , 0.646 , 2.39 , 0.37 , 1.18 , 0.67 , 4.61 , Low 
RHI,ROBERT HALF INTERNATIONAL INC.,Services,Business Services, 4.85 , Low ,2020-03-31,1,2020," 1,606.7 "," 2,274.9 ", 913.4 ," 1,144.9 ", 22.5 ," 1,129.9 ", 693.3 ," 6,074.4 "," 1,506.7 "," 1,468.5 "," 6,112.6 ", 620.4 , 130.8 , 145.9 , 605.3 , 113.9 ,50.93," 5,798.79 "," 1,130 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.305 , 0.010 , 0.266 , 0.987 , 2.00 , 0.03 , 1.79 , 1.03 , 4.85 , Low 
MSCI,MSCI INC.,Services,Technology Services, 4.75 , Low ,2020-06-30,2,2020," 1,909.9 "," 4,187.4 ", 845.0 ," 4,498.4 "," 2,346.6 ", (310.9)," 1,064.9 "," 1,557.8 ", 826.4 , 756.9 ," 1,627.3 ", 755.7 , 423.1 , 355.1 , 823.7 , 84.9 ,374.54," 31,816.42 ", (311), 6.56 , 3.26 , 6.72 , 1.04 , 0.254 , 0.560 , 0.197 , (0.069), 1.67 , 1.83 , 1.32 , (0.07), 4.75 , Low 
CDNS,CADENCE DESIGN SYSTEMS INC,Services,Technology Services, 4.66 , Low ,2020-06-27,2,2020," 1,639.8 "," 3,999.5 "," 1,151.9 "," 1,742.9 "," 2,015.0 "," 2,256.6 ", 487.9 ," 2,336.3 "," 1,256.4 "," 1,157.2 "," 2,435.5 ", 491.8 , 291.3 , 262.1 , 521.0 , 279.2 ,107.65," 30,056.63 "," 2,257 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.122 , 0.504 , 0.130 , 1.295 , 0.80 , 1.64 , 0.88 , 1.35 , 4.66 , Low 
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Services,Technology Services, 4.45 , Low ,2020-03-31,4,2020," 3,493.4 "," 4,948.8 "," 2,038.5 "," 2,409.6 "," 1,282.1 "," 2,539.2 "," 1,454.8 "," 3,089.0 "," 3,089.0 "," 2,668.4 "," 3,089.0 ", 425.3 , 425.3 , 206.7 , 425.3 , 114.1 ,159.56," 18,211.54 "," 2,539 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.294 , 0.259 , 0.086 , 1.054 , 1.93 , 0.84 , 0.58 , 1.10 , 4.45 , Low 
KSS,KOHLS CORP,Trade,Retail, 4.44 , Low ,2020-05-02,1,2021," 6,170.0 "," 15,869.0 "," 3,287.0 "," 11,079.0 "," 13,090.0 "," 4,790.0 "," 2,883.0 "," 19,974.0 "," 2,428.0 "," 4,087.0 "," 18,315.0 "," 1,099.0 ", (718.0), 118.0 , 263.0 , 154.0 ,19.36," 2,981.44 "," 4,790 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.182 , 0.825 , 0.017 , 0.432 , 1.19 , 2.69 , 0.11 , 0.45 , 4.44 , Low 
